ID	Controler ID	Data	Operator	Brygada	Zlecenie	PN Wyrobu	Stanowisko	Czynność	Pytanie 1	Uzasadnienie 1	Pytanie 2	Uzasadnienie 2	Pytanie 3	Uzasadnienie 3	Pytanie 4	Uzasadnienie 4	Pytanie 5	Uzasadnienie 5	Pytanie 11	Uzasadnienie 11	Pytanie 6	Uzasadnienie 6	Pytanie 7	Uzasadnienie 7	Pytanie 8	Uzasadnienie 8	Pytanie 9	Uzasadnienie 9	Pytanie 10	Uzasadnienie 10	Uwagi	Start formularza	Stop formularza
63	KlaudiaBA	2025-04-09-11-03-56	000349	ABSOLUTNE ASY	ZSK/00005/04/2025/001050	18190015-Rev1	CP-ZAG	CP-ZA	TAK		TAK	Brak TWI do stanowiska CP-ZAG	TAK		TAK				TAK		TAK				TAK		TAK		TAK					
64	KlaudiaBA	2025-04-09-11-27-06	000574	ATOMÓWKI	ZSA/00030/03/2025/003000	3732039100-Rev02	M/0	M-WIĄZKI	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
65	KlaudiaBA	2025-04-09-11-35-12	000444	SŁONECZKA	ZSK/00065/03/2025/723690	M1AB27922-Rev0	M/0	KOR-CZYSZ	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
66	KlaudiaBA	2025-04-09-11-56-04	000587	PSZCZÓŁKI	ZSK/00059/02/2025/703520	10-51-000510-Rev00	ZPA/0	ZPA	TAK		NIE	Brak TWI do zacisku BNC, pani nie do końca wie czym jest TWI nie wie czym jest instrukcja twi	NIE	Wie gdzie znaleźć CP ale nie do końca wie czym jest CP i nie wie jak korzystać 	NIE	Operator myli pojęcia kontroli pierwszej sztuki z kontrolą międzyoperacyjna 			TAK		TAK				TAK		TAK		TAK					
67	AnastazjaFalowska	2025-04-09-18-25-22	000499	SŁONECZKA	ZSK/00079/03/2025/306100ZSK/00079/03/2025/306100	D11 BONO 3.1.-Rev09	ZR-K/0	Zacisk 	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		TAK		TAK		Brak czytnika na stanowisku, problem z zaczytaniem dokumentu Brak oświetlenie na stanowisku 			
68	DianaKonstanty	2025-04-10-10-00-02	000470	BYSTRZAKI	ZSK/00122/04/2024/302400	611-0047-Rev1.6	OB/0	OB	TAK	Pracownik sprawdził na stanowisku czy wszystkie narzędzia są dostępne czy stanowisko jest odpowiednio przygotowane 	TAK	Pracownik przygotował urządzenie do pracy 	TAK	Pracownik ma otwarty CP 	TAK	Międzyoperacyjna sprawdzam etap wcześniejszy . Kontrola pierwszej sztuki weryfikacja wykonują swojej pierwszej sztuki  			NIE	Licznik nie obowiązuje 	TAK				TAK		NIE		TAK	Oklejam czerwona etykietą opisuje odkładam do czerwonego pudełka i zgłaszamy brygadziście 				
69	KlaudiaBA	2025-04-10-11-59-07	000125	SŁONECZKA	ZSK/00088/03/2025/723970	M1PX00282-Rev003	ODIZ-2300	ODIZ	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
70	AnastazjaFalowska	2025-04-10-21-28-26	000584	STOKROTKI	ZSK/00079/03/2025/306150	D18 3.1-Rev04	TEST-O/0	Test 	TAK		TAK		TAK		NIE	Nie wie co to jest kontrola międzyoperacyjna 			NIE		NIE				TAK		NIE		TAK					
71	DianaKonstanty	2025-04-11-09-54-47	000506	ATOMÓWKI	ZSA/00029/03/2025/003310	3732216500-Rev01	ZPA-T	ZPA	TAK		TAK		NIE		TAK				TAK		TAK				TAK		TAK		TAK		Odizolowanie pod zacisk nasuwki jest wykonane błędnie. Za krótkie odizolowanie pod nasuwke 05-001-0143			
72	KlaudiaBA	2025-04-11-10-03-08	000605	BYSTRZAKI	ZSK/00088/03/2025/723920	M1PX00201-Rev002	ZPA-SC	ZPA-W	TAK		TAK		TAK		TAK				NIE	Brak licznika	TAK				TAK		NIE	Nie ma pojęcia ile ma ćwiartek 	TAK	P1S-M-03 BRAK CZERWONYCH ETYKIET				
73	KlaudiaBA	2025-04-11-10-23-11	000409	BYSTRZAKI	ZSK/00071/02/2025/722010	M1SV184-22207-Rev004	TEST-O/0	TEST	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		NIE	Dawno nie sprawdzała w mapie 	TAK					
74	KlaudiaBA	2025-04-11-10-35-06	000279	STOKROTKI	ZSK/00126/03/2025/724890	M1WW12886-Rev001	ZR-IDC	Z-IDC	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
75	AnastazjaFalowska	2025-04-11-18-55-54	000174	SŁONECZKA	ZSK/00108/03/2025/722000	5110001280 (97166)-Rev0	ZPA/0	Zacisk podwójny 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
76	AnastazjaFalowska	2025-04-11-19-01-43	000174	SŁONECZKA	ZSK/00108/03/2025/722000	5110001280 (97166)-Rev0	ZPA/0	Zacisk podwójny 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK		Do zacisku nasuwki był wołany Pietrzak T			
77	AnastazjaFalowska	2025-04-11-21-25-19	000339	STOKROTKI	ZSU/00007/03/2025/306640	10078190-RevG	TEST-O/0	Montaż wiązki 	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		TAK		TAK		Problem z montażem wiązki na tablicy, tablica wykonana nieczytelne 			
78	AnastazjaFalowska	2025-04-14-11-59-06	000278	BYSTRZAKI	ZSK/00122/04/2024/302400	611-0047-Rev1.6	LUT-TYG/0	Cynowania 	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		TAK		TAK					
81	AnastazjaFalowska	2025-04-15-11-03-34	000481	ATOMÓWKI	ZSA/00033/03/2025/603810	364E21232100-Rev03	ZR-G/0	Zacisk	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Pracownik szkoli się na stanowisku 	TAK					
82	AnastazjaFalowska	2025-04-15-11-19-35	000622	ABSOLUTNE ASY	ZSK/00059/02/2025/701720	10-51-000136-Rev01	CP-PS	Cięcie ze znakowaniem przewodu 	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Pracownik szkoli się na stanowisku 	TAK		Wydane są tylko opaski,brak złącz na magazynie 			
83	KlaudiaBA	2025-04-15-11-38-56	000409	BYSTRZAKI	ZSK/00088/03/2025/723940	M1PX00257-Rev001	ZR-PP8/0	ZR	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		TAK	4	TAK	Wystąpienie niezgodności z poprzedniego etapu- cięcia. Weryfikacja wady przez brygadzistę. Niezgodność oznaczona czerwona etykietą 				
84	KlaudiaBA	2025-04-15-11-54-29	000323	PSZCZÓŁKI	ZSK/00051/03/2025/706290	1050000888-Rev00	ODIZ-ZF	ODIZ-SEKW	TAK		TAK		TAK		NIE	Operator myli pojęcia kontroli pierwszej sztuki z kontrolą międzyoperacyjna 			N/D		TAK	Sprawdzono długość odizolowania pod odpowiednią końcówkę 	TAK		TAK	3	TAK		TAK					
85	KlaudiaBA	2025-04-15-12-08-54	000526	ATOMÓWKI	ZSA/00030/03/2025/003330	3731316400-Rev01	M/0	M-WIĄZKI	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK	4	TAK					
86	AnastazjaFalowska	2025-04-16-11-56-26	000606	PSZCZÓŁKI	ZSK/00050/03/2025/706160	1050000082-Rev00	ZPA/0	Zacisk podwójny 	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Pracownik nie pamiętam 	TAK					
87	AnastazjaFalowska	2025-04-16-12-04-08	000125	SŁONECZKA	ZSK/00077/03/2025/723610	M1WW06246-Rev0	LUT-TYG/0	Cynowanie	TAK		TAK		TAK		TAK				N/D	Pracownik kiczy wszystko 	TAK		TAK		TAK		TAK		TAK					
88	KlaudiaBA	2025-04-16-13-00-08	000278	BYSTRZAKI	ZSK/00088/03/2025/723870	M1PX00165-Rev002	OB/0	Obkurcz 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK		Problem na etapie obkurcza, nadruk się kurczy i nie jest identyczny z obu stron. Niezgodnym montaż kapturka dopuszczony przez Tomka Pietrzaka			
89	DianaKonstanty	2025-04-16-17-08-08	000587	PSZCZÓŁKI	ZSK/00122/02/2025/705470	10-51-000184-Rev01	ZR-PP8/0	ZR	TAK	Sprawdziła czy wszystkie narzędzia są na stanowisku 	TAK		NIE		TAK	Międzyoperacyjna wcześniejszy etap . Pierwsza sztuka wykonana moja 			TAK		TAK	Zweryfikowała poprawność zacisku złącza 	TAK		TAK		TAK		TAK					
90	DianaKonstanty	2025-04-16-18-29-25	000581	STOKROTKI	ZSW/00009/02/2025/721460	1-2-1292-2042-Rev15	TAS/0	TAŚMOWANIE	TAK		TAK		NIE		TAK				N/D		TAK	Pracownik każdą sztukę weryfikuje pod kątem poprawności taśmowania by zwłaszcza nie powstawały tzw ,,garby"	TAK		TAK		NIE	Nie wie ile ma ćwiartek 	TAK					
91	DianaKonstanty	2025-04-22-08-58-39	000635	ABSOLUTNE ASY	ZSU/00008/04/2025/724110	60185437G1-RevA	CNK-OP/0	CNK-OP	NIE	Pracownik nie ma pojęcia 	NIE		NIE		NIE				N/D		NIE		NIE		TAK	Pracownik ma dokumentacją z pliku.	NIE		TAK		Objaśnienie pracownikowi wszelkich niejasnych informacji 			
92	KlaudiaBA	2025-04-22-11-37-07	000588	ATOMÓWKI	ZSA/00030/03/2025/002990	3731936900-Rev00	M/0	Montaż wiązki 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK		Wykonywanie etapu poprawy montażu wiązki			
93	KlaudiaBA	2025-04-22-11-55-25	000446	BYSTRZAKI	ZSK/00050/03/2025/706160	1050000082-Rev00	TEST-HV	TEST	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK	3 ćwiartki 	TAK					
94	KlaudiaBA	2025-04-22-12-19-18	000587	PSZCZÓŁKI	ZSK/00088/03/2025/723880	M1PX00166-Rev002	ZR-EW/0	ZR	TAK		NIE	Pracownik nie zapoznany z instrukcją 	TAK		TAK				TAK		TAK		TAK		TAK		NIE	W trakcie szkolenia, operator nie wie ile ma ćwiartek 	TAK					
95	KlaudiaBA	2025-04-23-11-14-25	000439	ABSOLUTNE ASY	ZSU/00013/03/2025/723550	10040273-RevD	CP-ZAA	CP 	TAK		TAK		TAK		TAK				TAK		N/D		TAK		TAK		TAK	3	TAK					
96	KlaudiaBA	2025-04-23-11-32-23	000582	ATOMÓWKI	ZSU/00003/04/2025/724080	3080468900-Rev00	ZR-IDC	Zacisk 	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		TAK	3 albo 4	TAK					
97	AnastazjaFalowska	2025-04-23-18-47-37	000597	PSZCZÓŁKI	ZSK/00051/03/2025/706310	1050000894-Rev00	M/0	Montaż w złączu 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
98	KlaudiaBA	2025-04-24-13-19-56	000446	BYSTRZAKI	ZSK/00065/03/2025/723700	M1AB27922-Rev0	M/0	M-W-ZŁĄCZU	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK	3	TAK					
99	KlaudiaBA	2025-04-25-13-28-05	000614	BYSTRZAKI	ZSK/00065/03/2025/723700	M1AB27922-Rev0	M/0	M-W-ZŁĄCZU	TAK		TAK		TAK		TAK				N/D		TAK		TAK		NIE		NIE		TAK					
100	KlaudiaBA	2025-04-25-13-41-23	000279	STOKROTKI	ZSU/00013/03/2025/306220	10040314-RevA	OB/0	Obkurcz 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
101	AnastazjaFalowska	2025-04-25-16-54-45	000499	SŁONECZKA	ZSW/00007/02/2025/720890	M1AB04330-Rev002	OB-TAS/0	Obkurcz 	NIE	Brak narzędzi na stanowisku 	TAK		TAK		TAK				N/D		NIE		TAK		TAK		TAK		TAK					
102	AnastazjaFalowska	2025-04-25-17-24-11	000620	ABSOLUTNE ASY	ZSK/00114/03/2025/724460	M1WW10607-Rev0	CP-EW	Cięcie z cynowaniem	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Pracownik szkoli się na stanowisku 	TAK		Przerzucono z maszyny CP-PS na CP-EW, problem z ustawieniem, był wołany UTR oraz Marek M			
103	KlaudiaBA	2025-04-29-13-32-48	000550	ABSOLUTNE ASY	ZSK/00120/03/2025/724700	M1WW10607-Rev0	Cp-ps	Cp	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		TAK	2	TAK		Pojawienie się nacięć podczas ustawienia maszyny, zmiana typu noży.			
104	AnastazjaFalowska	2025-05-05-20-09-13	000584	STOKROTKI	ZSK/00075/03/2025/723590	M1SV184-22177-Rev003	ODIZ-2300	Odizolowanie 	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		TAK		TAK					
105	DianaKonstanty	2025-05-06-12-32-17	000092	ABSOLUTNE ASY	ZSA/00006/04/2025/608890	364E33542700-Rev01	CP-MS	CP 	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		TAK		TAK		Pracownik podczas weryfikacji cięcia przewodu miał problem z rozwijał			
106	AnastazjaFalowska	2025-05-06-19-15-30	000566	SŁONECZKA	ZSK/00131/04/2025/726620	M1NV03304-Rev0	MO 	Montaż w złączu 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
107	AnastazjaFalowska	2025-05-06-19-30-47	000499	SŁONECZKA	ZSK/00012/04/2025/725290	M1ZE13878-Rev001	OB-TAS/0	Obkurcz 	NIE	Brak narzędzi na stanowisku 	TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK		Komputer nie działa na stanowisku 			
108	AnastazjaFalowska	2025-05-07-20-39-25	000329	SŁONECZKA	ZSU/00014/03/2025/306340	10026055-RevG	TEST-O/0	Test 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
109	AnastazjaFalowska	2025-05-07-20-49-26	000329	SŁONECZKA	ZSU/00014/03/2025/306340	E00000615-015-RevB_07	OB/0	Obkurcz 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
110	AnastazjaFalowska	2025-05-08-18-24-29	000622	ABSOLUTNE ASY	ZSK/00059/02/2025/701690	10-51-000136-Rev01	CP-PS	Cięcie z odizolowaniem 	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		TAK	Pracownik ma zero ćwiartki	TAK					
111	AnastazjaFalowska	2025-05-12-12-11-07	000612	ATOMÓWKI	ZSA/00006/04/2025/607890	3647557100-Rev01	ZPA/0	Zacisk nasuwki 	TAK	Brak narzędzi na stanowisku 	TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Pracownik nie wie 	TAK					
112	KlaudiaBA	2025-05-14-13-27-00	000478	ABSOLUTNE ASY	ZSE/00002/04/2025/723960	10026212-RevG	ZR-EW/0	ZR	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Nie ma pojęcia ile ma ćwiartek 	TAK					
113	KlaudiaBA	2025-05-14-13-36-15	000620	ABSOLUTNE ASY	ZSU/00023/04/2025/724250	10040428G1-RevC	CP-ES	Cp	TAK		TAK		TAK		TAK				N/D		N/D		TAK		TAK		TAK		TAK					
114	AnastazjaFalowska	2025-05-14-13-53-48	000524	SŁONECZKA	ZSK/00123/03/2025/724790	M1WW11139-Rev001	ZR-IDC	Zacisk IDC	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		TAK		TAK					
115	AnastazjaFalowska	2025-05-16-09-30-15	000335	SŁONECZKA	ZSK/00039/04/2025/725680	M1BH04863-Rev0	LUT-TYG/0	LUTOWANIE	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
116	AnastazjaFalowska	2025-05-16-09-44-33	000055	ATOMÓWKI	ZSU/00003/04/2025/724180	3732114100-Rev01	ZR-PP8/0	Zacisk podwójny	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE		TAK					
117	KlaudiaBA	2025-05-16-09-55-45	000499	SŁONECZKA	ZSK/00026/05/2025/306560	K12 NANO 3.1.-Rev08	ZR-K/0	ZR	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		NIE	Nie pamięta 	TAK					
118	KlaudiaBA	2025-05-16-10-21-08	000521	ABSOLUTNE ASY	ZSK/00057/05/2025/724310	301-0396-Rev1.0	CP-ZAA	CP-ZA	TAK		TAK		TAK		TAK				TAK		N/D		TAK		TAK		TAK		TAK					
119	DianaKonstanty	2025-05-19-07-08-13	000542	ATOMÓWKI	ZSA/00025/04/2025/619900	3732502300-Rev00	OB/0	OB	TAK		TAK		NIE	W tym momencie nie korzysta 	TAK				N/D		TAK		TAK		TAK		TAK		TAK					
120	DianaKonstanty	2025-05-19-07-31-47	000574	ATOMÓWKI	ZSK/00079/04/2025/724120	SC100-Rev01	M/0	KOMPLETOWANIE	TAK		TAK		NIE	Nie korzysta 	TAK				N/D		TAK	Pracownik zweryfikował swoja pierwszą sztukę na podstawie poprawności kompletowania w ilości zgodnej do danej czynności 	TAK		TAK		NIE		TAK					
121	KlaudiaBA	2025-05-19-08-42-31	000409	BYSTRZAKI	ZSK/00057/05/2025/724240	301-0397-Rev1.2	ZR-TOCZ	ZR	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK		Zlecenie priorytetowe			
122	DianaKonstanty	2025-05-19-09-17-49	000396	STOKROTKI	ZSU/00047/03/2025/307140	10039731G7-RevA	M/0	SKR-PRZEW	TAK		TAK		NIE		TAK				N/D		TAK	Tak operator sprawdził poprawność skręcenia itp	TAK		TAK		TAK		TAK	Oznaczyć czerwona etykietą opisać problem odłożyć do czerwonego pudełka zgłosić brygadziście następnie wpisać w pliku niezgodności 				
123	KlaudiaBA	2025-05-19-09-55-11	000588	ATOMÓWKI	ZSA/00004/04/2025/617920	3732173600-Rev01	M/0	MODELOWANIE	TAK		TAK		TAK	Pracownik poinformowany o problemach z pęknięciami podczas wyginania. 100% weryfikacja zlecenia.	TAK				N/D		TAK		TAK		TAK		TAK		TAK	Odseparowanie wyrobów niezgodnych i pozostawienie do weryfikacji dla Jacka G.	Wykonanie uchwytu do przewodów. Temat miał zostać zapisany na przewodniku			
124	KlaudiaBA	2025-05-19-10-03-53	000446	BYSTRZAKI	ZSE/00002/03/2025/278820	E00000706-007-RevB_07	M/0	M-W-ZŁĄCZU	TAK		TAK		TAK		TAK				N/D		TAK	Zweryfikowano dopięcie pinów w złączu.	TAK		TAK		TAK		TAK		Krzywo ucięte koszulki			
125	AnastazjaFalowska	2025-05-19-20-13-39	000526	ATOMÓWKI	ZSA/00038/03/2025/724500	3732017700-Rev01	ZR-EW/0	Zacisk wielokrotny	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		TAK		TAK		Brak narzędzi na stanowisku 			
126	DianaKonstanty	2025-05-20-07-36-25	000470	ATOMÓWKI	ZSK/00051/10/2023/720510	AK003R23-Rev1	ZR-RJ/0	Z-RJ	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Pracownik szkoli się na stanowisku 	TAK		Pracownik szkoli się na stanowisku 			
127	KlaudiaBA	2025-05-20-08-24-17	000628	ABSOLUTNE ASY	ZSA/00025/04/2025/619800	3731782900-Rev02	CP-ZAA565	CP-ZA	TAK		TAK		TAK		TAK				TAK		N/D		TAK		TAK		TAK		TAK					
128	KlaudiaBA	2025-05-20-08-40-08	000574	ATOMÓWKI	ZSA/00038/03/2025/724480	3732017800-Rev02	MO 	M-W-ZŁĄCZU	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
129	KlaudiaBA	2025-05-20-12-01-23	000565	PSZCZÓŁKI	ZSK/00100/03/2025/706680	1050000871-Rev00	LUT-TYG/0	LUTOWANIE	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		NIE	Nie ma pojęcia ile ma ćwiartek 	TAK					
130	AnastazjaFalowska	2025-05-20-19-05-43	000533	ABSOLUTNE ASY	ZSK/00026/05/2025/306970	K19 3.3.-Rev02	M/0	Montaż w złączu 	TAK		TAK		TAK		TAK				N/D		NIE		TAK		TAK		TAK	Pracownik ma 2 ćwiartki	TAK					
131	AnastazjaFalowska	2025-05-20-20-11-50	000558	BYSTRZAKI	ZSK/00057/05/2025/724240	301-0397-Rev1.2	M/0	Montaż w złączu Souriou	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		NIE		TAK					
132	AnastazjaFalowska	2025-05-20-21-49-07	000546	ATOMÓWKI	ZSA/00005/05/2025/621450	3080456500-Rev00	TEST-O/0	Test 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
133	DianaKonstanty	2025-05-21-09-00-43	000588	ATOMÓWKI	ZSA/00038/03/2025/724500	3732017700-Rev01	M/0	M-WIĄZKI	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
134	DianaKonstanty	2025-05-21-09-02-35	000574	ATOMÓWKI	ZSA/00038/03/2025/724500	3732017700-Rev01	MO 	M-WIĄZKI	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK		Podczas weryfikacji poprawności montażu wiązki w skrzyni z wczorajszej 2 zmiany wykryto niepoprawnie zmontowane wiązki. Wezwano Aleksandrę B			
135	DianaKonstanty	2025-05-21-10-46-28	000579	BYSTRZAKI	ZSA/00025/04/2025/619900	3732502300-Rev00	M/0	M-WIĄZKI	TAK		TAK		NIE		TAK				N/D		TAK	Za każdym razem po wykonaniu wiązki kontroluje 	TAK		TAK		NIE	Nie pamięta ale chyba 3	TAK		Weryfikacja poprawności wykonują 			
136	KlaudiaBA	2025-05-21-13-37-01	000377	ATOMÓWKI	ZSW/00012/01/2025/311400	3072570053-Rev02	AUTO-TEST	TEST	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Nie ma pojęcia ile ma ćwiartek 	TAK					
137	AnastazjaFalowska	2025-05-21-18-39-33	000595	PSZCZÓŁKI	ZSK/00118/03/2025/707240	1050000070-Rev00	M/0	Montaż w złączu 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
138	AnastazjaFalowska	2025-05-21-19-13-58	000008	BYSTRZAKI	ZSA/00025/04/2025/619900	3732502300-Rev00	M/0	Montaż wiązki 	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK		TAK					
139	MateuszKoza	2025-05-26-20-54-55	000079	ABSOLUTNE ASY	zskddffd	10-51-000136-Rev00	CW-EW/0	CP-ZA-CYN	TAK		NIE		N/D		TAK		NIE		NIE		N/D		TAK		NIE		N/D		TAK		koncowa	2025-5-26-20-54-23	2025-05-26-20-54-55	
